domain,class,mcr,ns1,ns2,ns3,ns4,ns5,len,vcr,ncr
ujtmfmuhrhqhh,dga,0.0,1657.6923076923076,11.916666666666666,0.0,0.0,0.0,13.0,0.18181818181818182,0.0
tobwithu,legit,6.75,2647.125,175.71428571428572,8.333333333333334,2.2,0.0,8.0,0.6,0.0
wbunlcwtgleq,dga,0.0,2341.9166666666665,92.81818181818181,1.5,0.0,0.0,12.0,0.2,0.0
fnnfrdxgumifisy,dga,0.2,2468.2,107.64285714285714,4.3076923076923075,0.0,0.0,15.0,0.25,0.0
xfenjndnmxniiw,dga,0.0,2688.0714285714284,129.92307692307693,1.25,0.0,0.0,14.0,0.2727272727272727,0.0
anygator,legit,15.75,3498.375,373.14285714285717,34.333333333333336,6.8,0.75,8.0,0.6,0.0
princess,legit,79.875,3938.0,602.0,97.66666666666667,18.0,1.75,8.0,0.3333333333333333,0.0
mhnhiwfnmobtigq,dga,0.6,2313.266666666667,117.78571428571429,1.5384615384615385,0.0,0.0,15.0,0.25,0.0
gmadkxlhlnird,dga,0.0,2534.3846153846152,86.25,0.8181818181818182,0.0,0.0,13.0,0.18181818181818182,0.0
adaderana,legit,47.333333333333336,4132.777777777777,481.625,54.714285714285715,4.5,0.0,9.0,1.25,0.0
watchonlinedesitv,legit,21.705882352941178,3549.0588235294117,503.625,34.93333333333333,5.785714285714286,0.8461538461538461,17.0,0.5454545454545454,0.0
yokogames,legit,9.666666666666666,2967.1111111111113,221.625,10.142857142857142,1.6666666666666667,0.2,9.0,0.8,0.0
drakensang-online,legit,9.176470588235293,3636.470588235294,450.5,28.733333333333334,2.7142857142857144,0.3076923076923077,17.0,0.5454545454545454,0.0
browserdiet,legit,9.0,3735.5454545454545,344.2,18.77777777777778,0.625,0.0,11.0,0.5714285714285714,0.0
bwehbeygswkxxw,dga,0.0,1744.642857142857,29.153846153846153,0.08333333333333333,0.0,0.0,14.0,0.16666666666666666,0.0
cinemark,legit,16.875,3503.375,460.57142857142856,41.5,5.2,1.0,8.0,0.6,0.0
thebestdesigns,legit,26.571428571428573,3838.9285714285716,380.0769230769231,34.0,4.909090909090909,2.1,14.0,0.4,0.0
dshscpmfcmmfrmzlbejfpl,dga,0.8181818181818182,2086.2727272727275,46.857142857142854,0.3,0.0,0.0,22.0,0.047619047619047616,0.0
hastanerandevu,legit,56.142857142857146,3779.4285714285716,487.84615384615387,61.666666666666664,7.090909090909091,0.0,14.0,0.75,0.0
iamistanbul,legit,37.09090909090909,3411.7272727272725,314.2,44.0,7.625,1.8571428571428572,11.0,0.8333333333333334,0.0
btoegetrmqfyq,dga,2.076923076923077,2661.846153846154,119.66666666666667,3.3636363636363638,0.1,0.0,13.0,0.3,0.0
zonaprop,legit,10.0,2975.625,343.42857142857144,46.333333333333336,4.0,0.0,8.0,0.6,0.0
honbqxfuhfwyfu,dga,2.357142857142857,1389.5,107.6923076923077,0.9166666666666666,0.0,0.0,14.0,0.2727272727272727,0.0
aewyqixfyombaj,dga,3.2142857142857144,2097.6428571428573,50.15384615384615,1.8333333333333333,0.09090909090909091,0.0,14.0,0.5555555555555556,0.0
pqxpluoesung,dga,6.5,2504.8333333333335,241.9090909090909,5.2,0.0,0.0,12.0,0.5,0.0
ldbxkiibksskvfr,dga,0.0,2115.733333333333,46.785714285714285,0.0,0.0,0.0,15.0,0.15384615384615385,0.0
fwmigbdksetbgw,dga,0.42857142857142855,2151.4285714285716,98.0,2.25,0.09090909090909091,0.0,14.0,0.16666666666666666,0.0
president,legit,177.33333333333334,4169.0,629.375,133.85714285714286,32.333333333333336,15.6,9.0,0.5,0.0
1yji5h210ru3rt7fij0c184m0eb,dga,0.0,1412.148148148148,22.884615384615383,0.0,0.0,0.0,27.0,0.17391304347826086,0.4444444444444444
freecamstars,legit,12.75,3919.75,381.45454545454544,27.7,2.3333333333333335,0.125,12.0,0.5,0.0
turkiyeburslari,legit,30.2,3326.5333333333333,224.78571428571428,19.923076923076923,0.5833333333333334,0.0,15.0,0.6666666666666666,0.0
polycom,legit,9.428571428571429,2416.8571428571427,274.8333333333333,35.8,0.25,0.0,7.0,0.4,0.0
aftonbladet-cdn,legit,3.0,3156.3333333333335,215.71428571428572,8.76923076923077,0.08333333333333333,0.0,15.0,0.36363636363636365,0.0
hyvcaexpbxczbytthiprgkfpriz,dga,5.0,2116.4814814814813,100.03846153846153,7.16,0.041666666666666664,0.0,27.0,0.17391304347826086,0.0
11tp36t29if316c76qidgr8k8,dga,0.96,1255.24,19.0,0.34782608695652173,0.0,0.0,25.0,0.08695652173913043,0.52
bmxytxqcaehqnfkvfhumizmgm,dga,0.36,1748.16,35.333333333333336,0.5652173913043478,0.0,0.0,25.0,0.19047619047619047,0.0
bankasya,legit,9.375,3009.5,179.42857142857142,10.333333333333334,1.8,0.0,8.0,0.6,0.0
irc-galleria,legit,27.5,3527.8333333333335,357.6363636363636,38.3,5.555555555555555,0.75,12.0,0.7142857142857143,0.0
